supermarket,week,niveaSales,niveaPrice,niveaRPrice,niveaDisplay,niveaFeature,niveaDisplayFeature,doveSales,dovePrice,doveRPrice,doveDisplay,doveFeature,doveDisplayFeature,axeSales,axePrice,axeRPrice,axeDisplay,axeFeature,axeDisplayFeature,rexonaSales,rexonaPrice,rexonaRPrice,rexonaDisplay,rexonaFeature,rexonaDisplayFeature
OKay,"2021, week 031",35.17,3.68930907023031,3.679137323943662,.03,.02,.01,47.85,2.776050156739812,2.803735508802061,0,0,.02,108.99,3.719295348197083,3.719295348197083,0,0,0,111.2,2.603390287769784,2.774400252525252,.06,.01,.02
OKay,"2021, week 032",28.78,3.722029186935372,3.719734544184422,.01,.03,.01,44.34,2.753631032927379,2.767511994516792,0,0,0,411.59,2.664590976457154,3.640000000001995,.03,.35,.31,89.27,2.813050296852246,2.839311351745955,.02,0,0
OKay,"2021, week 033",31.7,3.635078864353313,3.65436046511628,.01,.02,.01,52.44,2.686270022883295,2.758864499788941,0,0,0,195.96,2.767774035517452,3.017814508723594,.26,0,0,100.71,2.796981431833979,2.810959045071003,.02,.1,.01
OKay,"2021, week 034",35.71,3.673564827779333,3.675461361014994,.01,.04,.01,52.91,2.737592137592137,2.756132445141066,0,0,0,110.7,3.710578139114725,3.722835656639766,0,0,0,101.15,2.79586752347998,2.819519021457448,.01,.01,.01
OKay,"2021, week 035",40.13,3.659307251432843,3.681360471344402,0,0,0,60.38,2.733057303742962,2.747974860335196,0,0,0,120.15,3.710545151893466,3.723231978134608,0,0,0,115.34,2.764106121033467,2.768912300157102,0,0,0
OKay,"2021, week 036",38.81,3.718783818603453,3.742562991059334,0,.01,.01,63.41,2.731004573411134,2.731661543439573,0,0,0,127.12,3.713058527375708,3.723210847240052,0,0,0,754.14,2.175078897817381,0,.31,.37,.37
OKay,"2021, week 037",35.46,3.662069937958264,3.662069937958264,.01,.01,.03,61.79,2.757161352969737,2.761889197581305,0,0,0,123.28,3.712508111615834,3.712508111615834,0,0,0,176.47,2.614880716269055,2.823412204234122,.29,.05,.02
OKay,"2021, week 038",203.55,2.693244902972243,0,.03,.35,.37,57.66,2.759850849809227,2.759850849809227,0,0,0,115.95,3.714782233721432,3.714782233721432,0,0,0,127.14,2.503169734151329,3.543643892339544,.02,.02,.02
OKay,"2021, week 039",38.31,3.630905768728791,3.665984107579462,.03,0,0,55.86,2.768492660221984,2.768492660221984,.01,.02,.07,118.8,3.708611111111111,3.708611111111111,0,0,0,117.4,2.413415672913118,3.391404519273371,.03,.09,.09
OKay,"2021, week 040",33.34,3.67618476304739,3.67618476304739,0,.08,.02,49.66,2.785078534031413,2.79598669161988,.03,0,0,236.15,3.050857505822571,3.285797101449259,.31,0,0,115.36,2.405833911234397,2.990744648779017,0,.07,.01
OKay,"2021, week 041",31.96,3.728347934918648,3.728347934918648,0,0,0,52.25,2.756995215311005,2.756995215311005,0,0,.04,204.36,3.068638676844784,3.418798449612385,.27,0,0,121.2,2.413151815181518,2.478422014622259,.14,.21,.22
OKay,"2021, week 042",33.75,3.750548148148148,3.754824300178678,0,0,0,45.4,2.730286343612335,2.730286343612335,.01,.01,.02,102.7,3.701139240506329,3.700878048780488,0,0,0,109.74,2.45784581738655,2.497123273444803,.03,0,0
OKay,"2021, week 043",32.88,3.751733576642336,3.756129623968206,0,0,0,49.68,2.717230273752013,2.719302137958855,.01,0,0,100.1,3.708051948051948,3.708051948051948,0,0,0,117.05,2.406971379752243,2.406971379752243,.01,0,0
OKay,"2021, week 044",34.31,3.687438064704168,3.687438064704168,0,.1,.03,46.6,2.754270386266094,2.754270386266094,.01,.04,.03,112.44,3.723221273568126,3.723221273568126,0,.05,.04,815.63,1.941417064109952,0,.17,.41,.36
OKay,"2021, week 045",28.94,3.741879751209399,3.741879751209399,0,.03,.04,41.98,2.752667937112911,2.752667937112911,.01,.01,0,98.12,3.714910313901345,3.718728822261013,.01,.03,.04,123.86,2.383893105118683,2.430870295366986,.05,0,0
